track_seg_point_id,ele,time,X,Y,Z
162,2435.016,2018/08/02 21:40:42,6.08077,44.95845,2435.016
163,2426.051,2018/08/02 21:43:42,6.08054,44.95842,2426.051
164,2396.064,2018/08/02 21:46:42,6.08002,44.95898,2396.064
165,2383.084,2018/08/02 21:49:42,6.07966,44.95902,2383.084
166,2375.083,2018/08/02 21:51:42,6.07963,44.95932,2375.083
167,2366.028,2018/08/02 21:56:42,6.07921,44.95908,2366.028
168,2353.078,2018/08/02 21:58:42,6.0788,44.95906,2353.078
169,2352.033,2018/08/02 22:01:42,6.07859,44.95887,2352.033
170,2330.026,2018/08/02 22:09:42,6.07824,44.95928,2330.026
171,2328.008,2018/08/02 22:11:42,6.0779,44.95916,2328.008
172,2321.039,2018/08/02 22:12:42,6.07782,44.9593,2321.039
173,2309.054,2018/08/02 22:14:42,6.07799,44.95973,2309.054
174,2300.078,2018/08/02 22:18:42,6.0777,44.95977,2300.078
175,2280.063,2018/08/02 22:20:42,6.07758,44.96021,2280.063
176,2280.076,2018/08/02 22:22:42,6.07772,44.96035,2280.076
177,2260.026,2018/08/02 22:24:42,6.07749,44.96072,2260.026
178,2259.045,2018/08/02 22:29:42,6.07785,44.96114,2259.045
179,2246.08,2018/08/02 22:33:42,6.07794,44.9616,2246.08
180,2228.076,2018/08/02 22:34:42,6.0777,44.96191,2228.076
181,2227.09,2018/08/02 22:36:42,6.0778,44.96215,2227.09
182,2217.019,2018/08/02 22:37:42,6.07767,44.96233,2217.019
183,2215.008,2018/08/02 22:38:42,6.07756,44.96223,2215.008
184,2190.019,2018/08/02 22:43:42,6.07728,44.96276,2190.019
185,2183.024,2018/08/02 22:45:42,6.07726,44.96304,2183.024
186,2189.088,2018/08/02 22:47:42,6.07746,44.96319,2189.088
187,2183.073,2018/08/02 22:48:42,6.07738,44.96349,2183.073
188,2167.036,2018/08/02 22:49:42,6.07709,44.9638,2167.036
189,2158.086,2018/08/02 22:52:42,6.07693,44.96365,2158.086
190,2151.055,2018/08/02 22:53:42,6.07683,44.9638,2151.055
191,2148.01,2018/08/02 22:54:42,6.07675,44.96365,2148.01
192,2138.093,2018/08/02 22:55:42,6.07663,44.96389,2138.093
193,2130.065,2018/08/02 22:58:42,6.07639,44.96358,2130.065
194,2124.021,2018/08/02 22:59:42,6.07632,44.96369,2124.021
195,2121.008,2018/08/02 23:00:42,6.07623,44.96358,2121.008
196,2104.021,2018/08/02 23:04:42,6.07599,44.96388,2104.021
197,2102.096,2018/08/02 23:05:42,6.07593,44.96377,2102.096
198,2097.07,2018/08/02 23:06:42,6.07585,44.96385,2097.07
199,2080.025,2018/08/02 23:11:42,6.07564,44.96432,2080.025
200,2074.048,2018/08/02 23:12:42,6.07543,44.96412,2074.048
201,2061.068,2018/08/02 23:13:42,6.07529,44.96446,2061.068
202,2050.097,2018/08/02 23:14:42,6.07486,44.96414,2050.097
203,2035.082,2018/08/02 23:21:42,6.07375,44.96384,2035.082
204,2003.099,2018/08/02 23:27:42,6.07388,44.96478,2003.099
205,2002.007,2018/08/02 23:28:42,6.07405,44.96498,2002.007
206,1986.027,2018/08/02 23:31:42,6.07374,44.96517,1986.027
207,1982.008,2018/08/02 23:32:42,6.07357,44.96506,1982.008
208,1959.081,2018/08/02 23:37:42,6.07307,44.96521,1959.081
209,1929.076,2018/08/02 23:42:42,6.07276,44.96604,1929.076
210,1907.07,2018/08/02 23:46:42,6.07285,44.96689,1907.07
211,1896.075,2018/08/02 23:47:42,6.07269,44.96713,1896.075
212,1878.048,2018/08/02 23:48:42,6.07239,44.96732,1878.048
213,1872.098,2018/08/02 23:50:42,6.07227,44.96733,1872.098
214,1875.077,2018/08/02 23:51:42,6.07225,44.96716,1875.077
215,1856.092,2018/08/02 23:55:42,6.07195,44.9673,1856.092
216,1862.063,2018/08/02 23:58:42,6.07191,44.96696,1862.063
217,1844.044,2018/08/03 00:01:42,6.07165,44.96718,1844.044
218,1843.018,2018/08/03 00:02:42,6.07151,44.96696,1843.018
219,1835.008,2018/08/03 00:03:42,6.07142,44.96713,1835.008
220,1833.058,2018/08/03 00:04:42,6.07124,44.96691,1833.058
221,1825.053,2018/08/03 00:06:42,6.07121,44.96717,1825.053
222,1823.097,2018/08/03 00:07:42,6.07108,44.96706,1823.097
223,1802.072,2018/08/03 00:12:42,6.07083,44.96747,1802.072
224,1800.065,2018/08/03 00:13:42,6.07064,44.96716,1800.065
225,1781.085,2018/08/03 00:19:42,6.07014,44.96682,1781.085
226,1765.094,2018/08/03 00:23:42,6.07001,44.96726,1765.094
227,1738.079,2018/08/03 00:25:42,6.06974,44.96725,1738.079
228,1743.081,2018/08/03 00:27:42,6.06982,44.96741,1743.081
229,1722.061,2018/08/03 00:29:42,6.06966,44.96757,1722.061
230,1788.017,2018/08/03 00:33:42,6.0711,44.96808,1788.017
231,1810.008,2018/08/03 00:35:42,6.07155,44.96809,1810.008
232,1779.08,2018/08/03 00:37:42,6.07106,44.96826,1779.08
233,1767.045,2018/08/03 00:38:42,6.07094,44.9684,1767.045
234,1772.099,2018/08/03 00:39:42,6.07108,44.96845,1772.099
235,1733.074,2018/08/03 00:41:42,6.07065,44.96875,1733.074
236,1713.017,2018/08/03 00:47:42,6.07115,44.96967,1713.017
237,1723.077,2018/08/03 00:50:42,6.07162,44.96989,1723.077
238,1694.066,2018/08/03 00:58:42,6.07217,44.97073,1694.066
239,1659.061,2018/08/03 01:03:42,6.0722,44.97124,1659.061
240,1653.028,2018/08/03 01:06:42,6.07186,44.97107,1653.028
241,1659.089,2018/08/03 01:07:42,6.07169,44.9708,1659.089
242,1653.017,2018/08/03 01:08:42,6.07157,44.97079,1653.017
243,1640.008,2018/08/03 01:10:42,6.07157,44.97101,1640.008
244,1625.014,2018/08/03 01:11:42,6.07108,44.97082,1625.014
245,1607.019,2018/08/03 01:13:42,6.07136,44.97142,1607.019
246,1577.073,2018/08/03 01:16:42,6.0703,44.97106,1577.073
247,1563.078,2018/08/03 01:21:42,6.07106,44.97208,1563.078
248,1529.021,2018/08/03 01:24:42,6.07039,44.97259,1529.021
249,1508.041,2018/08/03 01:34:42,6.06935,44.97282,1508.041
250,1510.05,2018/08/03 01:37:42,6.06966,44.97334,1510.05
251,1512.015,2018/08/03 01:41:42,6.0694,44.97382,1512.015
252,1513.011,2018/08/03 01:44:42,6.06887,44.97375,1513.011
253,1516.021,2018/08/03 01:50:42,6.06801,44.97396,1516.021
254,1515.003,2018/08/03 01:58:42,6.06702,44.97379,1515.003
255,1517.008,2018/08/03 02:00:42,6.06694,44.97391,1517.008
256,1515.053,2018/08/03 02:01:42,6.0669,44.9738,1515.053
257,1529.038,2018/08/03 02:20:42,6.06516,44.97416,1529.038
258,1533.042,2018/08/03 02:25:42,6.06461,44.97448,1533.042
259,1534.097,2018/08/03 02:27:42,6.06454,44.97472,1534.097
260,1538.02,2018/08/03 02:32:42,6.06419,44.97487,1538.02
261,1539.03,2018/08/03 02:35:42,6.06417,44.97503,1539.03
262,1541.079,2018/08/03 02:38:42,6.06381,44.97509,1541.079
263,1543.044,2018/08/03 02:42:42,6.06373,44.97552,1543.044
264,1528.075,2018/08/03 02:49:42,6.06437,44.97638,1528.075
265,1522.028,2018/08/03 02:54:42,6.06456,44.9763,1522.028
266,1513.02,2018/08/03 02:58:42,6.06486,44.97674,1513.02
267,1486.008,2018/08/03 03:03:42,6.06575,44.97713,1486.008
268,1460.019,2018/08/03 03:06:42,6.06617,44.97771,1460.019
269,1460.064,2018/08/03 03:07:42,6.06657,44.97757,1460.064
270,1446.038,2018/08/03 03:10:42,6.0667,44.97775,1446.038
271,1445.023,2018/08/03 03:11:42,6.06695,44.97766,1445.023
272,1433.016,2018/08/03 03:12:42,6.06685,44.97789,1433.016
273,1423.096,2018/08/03 03:18:42,6.06727,44.97788,1423.096
274,1400.065,2018/08/03 03:23:42,6.06713,44.97831,1400.065
275,1395.09,2018/08/03 03:24:42,6.06735,44.97829,1395.09
276,1383.037,2018/08/03 03:25:42,6.06741,44.97847,1383.037
277,1372.049,2018/08/03 03:31:42,6.06835,44.97831,1372.049
278,1355.013,2018/08/03 03:33:42,6.06801,44.97877,1355.013
279,1355.008,2018/08/03 03:34:42,6.06816,44.97871,1355.008
280,1341.045,2018/08/03 03:35:42,6.06768,44.9791,1341.045
281,1334.07,2018/08/03 03:38:42,6.06778,44.97922,1334.07
282,1318.074,2018/08/03 03:41:42,6.06824,44.97948,1318.074
283,1319.089,2018/08/03 03:45:42,6.0685,44.97932,1319.089
284,1300.052,2018/08/03 03:50:42,6.06931,44.97935,1300.052
