id,timestamp,xraw,yraw,xmap_matched,ymap_matched,link_id,node_id
111,2015-10-12 17:50:48,416725.062884252,3986769.15146676,416722.9196468684,3986773.054549854,2801,-1
112,2015-10-12 17:50:49,416750.335654364,3986783.22086263,416748.177854098,3986787.0607654103,2801,-1
113,2015-10-12 17:50:50,416775.704727847,3986797.95492079,416772.9278910126,3986802.4182344605,2801,-1
114,2015-10-12 17:50:51,416800.888280804,3986812.13621812,416798.01447724056,3986817.2229674584,2801,-1
115,2015-10-12 17:50:52,416825.35620206,3986826.87892738,416822.5964871927,3986831.4368237336,3269,-1
116,2015-10-12 17:50:53,416849.829274796,3986842.17623863,416847.28194056865,3986846.3833708684,3269,-1
117,2015-10-12 17:50:54,416875.020950869,3986857.24500104,416872.3919651873,3986861.586987379,3269,-1
118,2015-10-12 17:50:56,416923.980262165,3986889.28175362,416921.58332102746,3986892.9587729475,3269,-1
119,2015-10-12 17:50:57,416948.913929237,3986905.6841575,416946.5850954548,3986909.2566969725,3269,-1
120,2015-10-12 17:50:58,416973.755314407,3986921.86566622,416971.42105395615,3986925.446530455,3269,-1
121,2015-10-12 17:50:59,416998.065430992,3986939.05050078,416996.01175369375,3986941.8911677827,3269,-1
122,2015-10-12 17:51:00,417021.922878227,3986956.01783117,417019.73599461716,3986959.042750477,3269,-1
123,2015-10-12 17:51:01,417047.140037826,3986973.8597536,417044.7684703895,3986977.1401294246,3269,-1
124,2015-10-12 17:51:02,417071.004603717,3986991.60356379,417068.7660385649,3986994.5057512377,3269,-1
125,2015-10-12 17:51:03,417095.05448458,3987009.90027654,417092.6931528604,3987012.961624685,3269,-1
126,2015-10-12 17:51:04,417119.193317258,3987028.08529915,417116.621899617,3987031.4189694305,3269,-1
127,2015-10-12 17:51:05,417142.885743408,3987046.71825241,417140.48739243025,3987049.8275533845,3269,-1
128,2015-10-12 17:51:06,417166.765560968,3987066.12592271,417164.04864905745,3987069.2750895694,3269,-1
129,2015-10-12 17:51:07,417190.457782944,3987084.75900181,417186.9763250431,3987088.842487574,3269,-1
130,2015-10-12 17:51:08,417213.712979196,3987104.83816849,417210.3487600473,3987108.777442809,3304,-1
131,2015-10-12 17:51:09,417235.791622991,3987124.37386603,417232.7632603859,3987127.9198749284,3304,-1
132,2015-10-12 17:51:10,417258.413863173,3987144.23726077,417255.4845529934,3987147.5895929127,3304,-1
133,2015-10-12 17:51:11,417280.855811807,3987164.10240485,417278.0528929456,3987167.310093492,3304,-1
134,2015-10-12 17:51:12,417302.846145602,3987183.86092761,417300.1368705508,3987186.813032537,3304,-1
135,2015-10-12 17:51:13,417324.748368419,3987203.84216396,417321.97961967625,3987206.8590731514,3304,-1
136,2015-10-12 17:51:14,417346.472385282,3987224.04695872,417343.83700485766,3987226.9185459106,3304,-1
137,2015-10-12 17:51:15,417367.841129855,3987244.80972205,417364.969523751,3987247.722241195,3304,-1
138,2015-10-12 17:51:16,417389.660241516,3987265.5683111,417386.41166167305,3987268.863174895,3304,-1
139,2015-10-12 17:51:17,417411.300103605,3987286.43954983,417407.81922618503,3987289.9700208483,3304,-1
140,2015-10-12 17:51:18,417432.764875506,3987307.86706492,417428.7319361492,3987311.718788345,3304,-1
141,2015-10-12 17:51:19,417454.144647488,3987329.85001072,417449.91056975926,3987333.8938345737,3304,-1
142,2015-10-12 17:51:20,417474.714518305,3987351.95151193,417470.76207231084,3987355.726358878,3304,-1
143,2015-10-12 17:51:21,417495.467587952,3987374.38409333,417491.49682483356,3987378.0047605173,3304,-1
144,2015-10-12 17:51:22,417515.859144858,3987396.70919069,417511.8693648546,3987400.3471980733,3304,-1
145,2015-10-12 17:51:23,417536.52295158,3987419.25361771,417532.4747003648,3987422.944940991,3304,-1
146,2015-10-12 17:51:24,417556.649217257,3987442.13587334,417552.2676752368,3987445.882200811,3304,-1
147,2015-10-12 17:51:25,417577.047729247,3987465.23745864,417572.29295995197,3987469.3029047195,3304,-1
148,2015-10-12 17:51:26,417597.180011915,3987488.78524711,417592.0285974227,3987492.958028,3304,-1
149,2015-10-12 17:51:27,417615.948373247,3987511.01483767,417610.33696828486,3987515.560222909,3304,-1
150,2015-10-12 17:51:29,417652.268138463,3987560.25493142,417648.8099314093,3987563.0561698624,3304,-1
151,2015-10-12 17:51:30,417670.250282094,3987585.15398527,417668.12764719117,3987586.769214267,3304,-1
152,2015-10-12 17:51:31,417688.860881868,3987609.82536689,417686.8416025974,3987611.3619469334,3304,-1
153,2015-10-12 17:51:32,417708.367093852,3987633.93383364,417705.6127146829,3987636.029791403,3304,-1
154,2015-10-12 17:51:33,417727.690948767,3987657.82221192,417724.36789923854,3987660.4755662824,3304,-1
155,2015-10-12 17:51:34,417746.930825758,3987682.37691536,417743.81335872825,3987684.8485181304,3304,-1
156,2015-10-12 17:51:35,417765.976955191,3987705.49155108,417762.4172039239,3987708.3138074214,3304,-1
157,2015-10-12 17:51:36,417785.122392822,3987729.60354939,417781.10742929106,3987732.513998973,3304,-1
158,2015-10-12 17:51:37,417805.258699693,3987753.70633907,417800.25315563846,3987757.919190996,3304,-1
159,2015-10-12 17:51:38,417824.781873341,3987779.70047803,417821.1545337319,3987782.7533818684,3304,-1
160,2015-10-12 17:51:39,417844.736748348,3987803.69413044,417841.2493532687,3987806.6292517604,3304,-1
161,2015-10-12 17:51:40,417864.875828546,3987828.12977481,417861.6383035548,3987830.854596177,3304,-1
162,2015-10-12 17:51:41,417885.822482245,3987852.22518279,417882.6342495622,3987855.273758628,3304,-1
163,2015-10-12 17:51:42,417906.754547085,3987874.76794102,417903.8918800567,3987877.5052122306,3304,-1
164,2015-10-12 17:51:43,417927.232969284,3987896.98222502,417924.76876977313,3987899.3384831217,3304,-1
165,2015-10-12 17:51:44,417948.339828952,3987918.96886574,417946.2145398512,3987921.1905067596,3304,-1
166,2015-10-12 17:51:45,417969.175290798,3987940.84716665,417968.0222793116,3987942.0524509633,3304,-1
167,2015-10-12 17:51:46,417989.443276125,3987959.84696664,417988.6420658218,3987960.7620788743,3304,-1
168,2015-10-12 17:51:47,418010.156441274,3987978.28808326,418009.5069248154,3987979.0299364976,3304,-1
169,2015-10-12 17:51:48,418031.043496976,3987996.06212831,418030.21718165826,3987997.0653456645,3304,-1
170,2015-10-12 17:51:49,418051.745135857,3988013.28336354,418051.00225260237,3988014.185287246,3304,-1
171,2015-10-12 17:51:50,418071.535518708,3988029.40395775,418070.70427463885,3988030.4131590296,3304,-1
172,2015-10-12 17:51:51,418091.58783184,3988044.63482541,418090.72939800983,3988045.8028213726,3304,-1
173,2015-10-12 17:51:52,418111.368787883,3988059.75734426,418110.78915468464,3988060.5460005454,3304,-1
174,2015-10-12 17:51:53,418130.685844878,3988073.442303,418129.86171388417,3988074.5636260887,3304,-1
175,2015-10-12 17:51:54,418150.453266164,3988087.12311665,418149.7732951495,3988088.123936064,3304,-1
176,2015-10-12 17:51:55,418170.488818577,3988100.57964844,418169.7363746211,3988101.687137587,3304,-1
177,2015-10-12 17:51:56,418190.793532743,3988113.92280725,418190.25643129763,3988114.8342189775,3304,-1
178,2015-10-12 17:51:57,418211.095094154,3988126.93329107,418211.0157923983,3988127.067858852,3304,-1
179,2015-10-12 17:51:58,418231.477410059,3988138.94482106,418230.7866447721,3988140.1871900656,3304,-1
180,2015-10-12 17:51:59,418252.222066021,3988151.1748664,418251.826848531,3988151.8856808683,3304,-1
181,2015-10-12 17:52:00,418273.228680891,3988162.51519523,418272.689280084,3988163.4853291623,3304,-1
182,2015-10-12 17:52:01,418294.145156577,3988173.85640951,418293.48323412956,3988175.0469035152,3304,-1
183,2015-10-12 17:52:02,418315.420884308,3988185.08342307,418314.91041064676,3988186.0891999626,3304,-1
184,2015-10-12 17:52:03,418337.233973923,3988195.97275349,418336.6501612856,3988197.1230288222,3304,-1
185,2015-10-12 17:52:04,418359.493313761,3988206.41433295,418358.73305492976,3988208.053281747,3304,-1
186,2015-10-12 17:52:05,418381.745403326,3988216.07961879,418380.7344289637,3988218.2590544596,3304,-1
187,2015-10-12 17:52:06,418403.730275479,3988226.08018586,418402.88431355794,3988228.1372816702,3304,-1
188,2015-10-12 17:52:07,418426.160376072,3988235.52209923,418425.39100435906,3988237.3929533283,3304,-1
189,2015-10-12 17:52:08,418449.127845491,3988244.62634212,418448.238554295,3988246.7888002023,3304,-1
190,2015-10-12 17:52:09,418472.093212174,3988253.50883033,418471.0063028392,3988256.15182948,3304,-1
191,2015-10-12 17:52:10,418495.685006473,3988261.94191279,418494.7781122991,3988264.5740879467,3304,-1
192,2015-10-12 17:52:11,418519.367863371,3988270.48513144,418518.6313330203,3988272.7478269055,3304,-1
193,2015-10-12 17:52:12,418542.957511747,3988278.69652557,418542.37777511124,3988280.4775349414,3304,-1
194,2015-10-12 17:52:13,418567.261623115,3988286.2358752,418566.5983338601,3988288.3539647902,3304,-1
195,2015-10-12 17:52:14,418591.471506733,3988293.33249624,418590.66995504557,3988295.892100926,3304,-1
196,2015-10-12 17:52:15,418616.219795662,3988300.20237365,418615.64072228625,3988302.7021452566,3304,-1
197,2015-10-12 17:52:16,418640.78275494,3988306.51944982,418640.3415411407,3988308.424102622,3304,-1
198,2015-10-12 17:52:18,418690.983407434,3988318.47838226,418690.61472867883,3988320.0699123195,3304,-1
199,2015-10-12 17:52:19,418716.170690619,3988324.12440269,418715.9831042304,3988325.102007874,3304,-1
200,2015-10-12 17:52:20,418740.994539462,3988329.4410992,418740.9093718746,3988329.8849495,3304,-1
201,2015-10-12 17:52:21,418767.437791966,3988334.52109191,418767.3537286119,3988334.959187506,3304,-1
202,2015-10-12 17:52:22,418793.521705605,3988339.71539407,418793.4726624385,3988339.970982197,3304,-1
203,2015-10-12 17:52:23,418819.600473688,3988344.35523818,418819.4840201873,3988344.962134804,3304,-1
204,2015-10-12 17:52:24,418845.581974539,3988348.21964047,418845.3460437076,3988349.6909833155,3304,-1
205,2015-10-12 17:52:25,418871.471324602,3988351.86313531,418871.23274056596,3988353.8192666126,3304,-1
206,2015-10-12 17:52:26,418897.447668584,3988355.17315539,418897.2261206854,3988356.989608773,3304,-1
207,2015-10-12 17:52:27,418923.781255498,3988358.14721312,418923.5311314947,3988360.1979596848,3304,-1
208,2015-10-12 17:52:28,418950.472087906,3988360.78531174,418950.3043498077,3988362.68219766,3304,-1
209,2015-10-12 17:52:29,418977.432127556,3988363.31009751,418977.3507859012,3988364.956642828,3304,-1
210,2015-10-12 17:52:30,419004.297986687,3988365.39216648,419004.25384527905,3988366.2856918047,3304,-1
211,2015-10-12 17:52:31,419031.427957493,3988366.80639036,419031.39983481274,3988367.5261809034,3304,-1
212,2015-10-12 17:52:32,419058.467835393,3988368.22152608,419058.45370483206,3988368.583193034,3304,-1
213,2015-10-12 17:52:33,419085.502606421,3988369.08220999,419085.4975218497,3988369.4734744797,3304,-1
214,2015-10-12 17:52:34,419112.806596798,3988369.82958752,419112.80661271943,3988369.8283623443,3304,-1
215,2015-10-12 17:52:35,419140.101413769,3988369.57888698,419140.0935636699,3988370.182962496,3304,-1
216,2015-10-12 17:52:36,419167.394193737,3988369.10645741,419167.4063266451,3988370.4282412063,3304,-1
