field_1,field_2,altimeZ_mn
903865.7973998438,6434840.688440496,1012.159999999999968
903866.976932626,6434863.174355627,1015.429999999999950
903862.6739593262,6434875.112631567,1015.429999999999950
903858.3788791952,6434887.051168258,1019.799999999999955
903873.411201024,6434895.455911159,1019.590000000000032
903888.4438465999,6434903.849589633,1015.990000000000009
903899.7460530059,6434915.854831238,1021.399999999999977
903916.2075757987,6434919.1503244005,1019.000000000000000
903932.6694464089,6434922.434760525,1019.000000000000000
903949.1230590162,6434925.730082479,1016.629999999999995
903969.3812877964,6434935.417651413,1015.320000000000050
903977.8945120862,6434935.785696903,1015.320000000000050
903989.2727651722,6434930.313623555,1016.559999999999945
904000.6510386019,6434924.841570928,1016.559999999999945
904007.2545907841,6434926.447194621,1016.559999999999945
904022.3518948099,6434933.3431356,1021.649999999999977
904034.7374498522,6434945.250812817,1021.009999999999991
904047.1229569048,6434957.158514334,1027.750000000000000
904059.5084159673,6434969.066240153,1026.430000000000064
904067.1224082033,6434986.507069312,1033.769999999999982
904074.736354963,6435003.947906984,1031.849999999999909
904089.96340235,6435020.582837731,1036.809999999999945
904109.3863037188,6435034.321764229,1036.809999999999945
904128.8091194881,6435048.060750906,1041.680000000000064
904149.9330174739,6435055.621505985,1046.849999999999909
904171.0568659712,6435063.182332672,1051.589999999999918
904192.1806649792,6435070.74323096,1058.319999999999936
904213.2965366617,6435078.303942231,1065.759999999999991
904234.4202367001,6435085.864983703,1065.759999999999991
904255.5438872491,6435093.426096776,1070.559999999999945
904266.8884677816,6435115.156882227,1077.690000000000055
904278.2254517372,6435136.876327869,1077.690000000000055
904289.5702301719,6435158.596051651,1085.380000000000109
904300.9145607151,6435180.326895429,1083.460000000000036
904306.9587597614,6435197.271981853,1083.619999999999891
904317.0454485752,6435210.949422341,1092.420000000000073
904329.8378781364,6435218.359396025,1091.849999999999909
904342.6302775731,6435225.7693958795,1100.549999999999955
904355.1477433755,6435238.426614315,1098.160000000000082
904357.6559199848,6435253.777622136,1098.160000000000082
904360.1640818089,6435269.128630337,1098.779999999999973
904373.7179704604,6435287.9207145665,1102.920000000000073
904387.2714099234,6435306.723927951,1102.920000000000073
904400.8251296574,6435325.516069416,1106.789999999999964
904414.3862776512,6435344.31959891,1110.849999999999909
904427.9398284436,6435363.111797624,1112.809999999999945
904430.03537248,6435377.093548596,1112.809999999999945
904432.1233924805,6435391.063940315,1115.599999999999909
904429.2246141406,6435406.081702832,1115.599999999999909
