WKT,link_id,source,target,one_way
"LINESTRING (942599.8 6437578.5,942590.2 6437581.1,942579.0 6437585.5,942554.3 6437591.4,942525.8 6437595.3,942497.9 6437599.7,942471.4 6437608.0,942450.9 6437616.1,942428.5 6437628.8,942413.4 6437640.6)",11699,16372,16355,0
"LINESTRING (942599.8 6437578.5,942615.0 6437574.3,942626.1 6437567.5)",11700,16372,16367,0
"LINESTRING (942371.0 6437418.3,942400.5 6437417.1,942436.8 6437413.2,942462.7 6437408.9,942498.1 6437409.3,942511.3 6437410.2,942532.2 6437408.6,942556.5 6437404.4,942583.1 6437404.5,942624.6 6437409.9,942651.9 6437412.7,942668.7 6437410.9,942686.7 6437404.9,942695.3 6437394.0)",11701,16373,16374,0
"LINESTRING (942771.3 6437423.5,942759.6 6437431.9)",11702,16368,16371,0
"LINESTRING (942125.8 6437396.2,942127.2 6437393.5,942128.3 6437385.5,942127.8 6437374.7,942128.8 6437371.4,942130.5 6437369.8,942141.7 6437355.1)",11703,16375,16376,0
"LINESTRING (942125.8 6437396.2,942143.0 6437394.6)",11704,16375,16328,0
"LINESTRING (942114.9 6437470.3,942056.2 6437481.7)",11705,16327,16377,0
"LINESTRING (942056.2 6437481.7,942051.2 6437482.8,942041.5 6437485.4,942028.3 6437490.9,942015.5 6437478.4)",11706,16377,16378,0
"LINESTRING (942143.0 6437394.6,942149.0 6437393.3,942156.8 6437390.9)",11707,16328,16379,0
"LINESTRING (942114.9 6437470.3,942154.4 6437465.7,942199.1 6437464.5,942234.8 6437460.0,942270.6 6437451.7,942321.1 6437429.0,942336.1 6437421.7,942350.4 6437419.2,942371.0 6437418.3)",11708,16327,16373,0
"LINESTRING (942041.5 6437460.2,942048.7 6437457.0,942056.6 6437452.1,942061.1 6437442.3,942063.6 6437432.8,942066.5 6437424.3,942071.9 6437415.1,942078.6 6437408.0,942087.7 6437402.8,942102.0 6437399.1,942125.8 6437396.2)",11709,16380,16375,0
"LINESTRING (945906.8 6436508.5,945898.5 6436514.8,945867.8 6436529.1,945859.0 6436534.3)",11712,16385,16386,0
"LINESTRING (945963.3 6436558.3,945957.4 6436555.8,945947.7 6436549.7,945943.5 6436546.7,945922.0 6436524.6,945906.8 6436508.5)",11714,16388,16385,0
"LINESTRING (946096.9 6436704.7,946080.7 6436709.9,946075.7 6436710.8,946074.1 6436710.0,946072.0 6436708.5,946068.2 6436704.1)",11716,16391,16392,0
"LINESTRING (947840.2 6435984.8,947837.2 6435991.9,947835.0 6436005.8,947834.9 6436031.2,947833.8 6436050.8)",11736,16411,16412,0
"LINESTRING (945818.3 6436768.8,945816.4 6436765.2,945813.4 6436761.5,945807.6 6436757.8,945802.2 6436755.5,945797.0 6436754.2,945792.5 6436753.9,945786.8 6436754.3,945778.8 6436755.3,945771.0 6436756.4,945763.1 6436755.8,945757.1 6436754.4,945752.4 6436751.5,945748.0 6436743.9,945737.5 6436741.6,945729.2 6436740.5,945715.5 6436739.8,945700.8 6436739.1,945687.3 6436739.9,945679.9 6436741.2,945669.5 6436744.3,945660.9 6436747.4,945651.3 6436749.3,945642.6 6436750.7,945632.4 6436751.3,945618.5 6436752.2,945609.0 6436751.8,945598.3 6436749.7,945584.2 6436745.0,945545.2 6436731.0,945502.6 6436710.9,945485.2 6436701.8,945478.3 6436699.4,945472.4 6436699.0,945462.7 6436700.4,945456.2 6436702.9,945449.4 6436706.8,945446.0 6436710.5)",11737,16413,16414,0
"LINESTRING (945877.5 6436375.1,945876.1 6436367.8,945873.9 6436362.9,945871.4 6436358.3)",11738,16415,1066,0
"LINESTRING (946961.6 6436603.5,946958.9 6436603.6,946939.9 6436601.9,946919.8 6436601.1,946895.9 6436597.6,946875.5 6436593.4,946862.1 6436589.1,946836.3 6436583.6,946822.7 6436582.1,946799.0 6436581.6,946787.4 6436580.6,946774.8 6436579.4,946757.1 6436576.9,946743.3 6436576.4,946734.0 6436576.9,946722.5 6436576.7,946712.0 6436574.9,946698.8 6436571.5,946689.0 6436568.9,946680.6 6436566.8,946668.6 6436565.7,946660.6 6436566.4,946652.2 6436569.0,946621.1 6436578.7,946608.5 6436583.9,946598.2 6436585.5,946585.7 6436584.6,946570.2 6436581.2,946543.5 6436574.6,946537.5 6436575.0,946533.0 6436576.6,946513.8 6436585.1,946497.0 6436592.5,946488.0 6436595.3,946478.1 6436595.2,946470.5 6436594.2,946447.4 6436586.3,946414.6 6436577.2,946390.5 6436575.5,946371.9 6436576.2,946358.6 6436576.4,946340.6 6436574.7,946312.6 6436572.3,946301.8 6436570.7)",11739,16416,16417,0
"LINESTRING (945866.1 6436767.7,945857.5 6436754.3,945842.8 6436735.1,945839.6 6436731.1)",11740,16418,16419,0
"LINESTRING (946001.9 6436404.8,945977.2 6436384.7)",11741,16420,16421,0
"LINESTRING (945906.8 6436508.5,945904.8 6436506.3,945900.6 6436500.4,945897.0 6436493.9,945894.4 6436485.8)",11742,16385,16422,0
"LINESTRING (943195.2 6437305.9,943198.8 6437305.9,943230.4 6437296.4,943260.0 6437278.1,943295.7 6437247.0,943331 6437228,943390.2 6437193.1,943440.8 6437165.9,943462.2 6437155.1,943477.8 6437148.1,943506.1 6437145.2,943534.6 6437147.8,943565.5 6437152.4,943601.7 6437165.2,943635.5 6437178.9,943657.3 6437183.5,943692.3 6437183.2,943741.7 6437171.7,943778.6 6437159.6,943817.3 6437141.2,943836.5 6437132.0,943867.4 6437124.4,943907.5 6437119.4,943940.9 6437110.9,943981.8 6437092.0,944031.2 6437066.5,944091.2 6437035.8,944121.5 6437018.2,944142.3 6437007.9,944157.1 6437002.8,944173.6 6437002.5,944191.4 6437004.8,944222.4 6437019.4,944267.7 6437041.2,944348.9 6437079.9,944364.2 6437084.2,944387.0 6437081.9,944412.2 6437073.7,944444.9 6437052.2,944470.5 6437018.5,944495.0 6436987.1,944510.4 6436970.8,944534.4 6436948.5,944575.7 6436911.2,944596.4 6436894.9,944626.2 6436872.9,944664.9 6436844.9,944682.2 6436837.8,944708.9 6436830.0,944719.1 6436822.5,944735.5 6436804.5,944744.6 6436798.8,944754.3 6436795.7,944769.3 6436794.4,944786.7 6436796.8,944802.3 6436803.8,944837.1 6436826.2,944883.6 6436853.7,944905.1 6436864.5,944933.2 6436881.9,944964.3 6436912.3)",11743,16369,16423,0
"LINESTRING (948275.6 6435539.7,948273.0 6435542.6,948263.4 6435552.4)",11751,16434,16435,0
"LINESTRING (947874.7 6435957.1,947868.3 6435959.0,947860.9 6435962.3,947853.8 6435967.8,947847.4 6435973.8,947841.9 6435981.0,947840.2 6435984.8)",11752,1071,16411,0
"LINESTRING (947977.4 6435937.3,947973.2 6435939.1,947956.3 6435944.6,947938.5 6435948.9,947935.3 6435949.2)",11753,16436,1070,0
"LINESTRING (948263.4 6435552.4,948243.8 6435572.2,948215.0 6435598.7,948171.6 6435640.3,948139.5 6435670.2,948133.6 6435676.7,948115.8 6435697.6,948093.8 6435729.8,948080.0 6435756.9,948049.5 6435826.3,948027.1 6435879.2,948013.2 6435905.3)",11754,16435,16437,0
"LINESTRING (948013.2 6435905.3,948008.4 6435914.2,948001.6 6435923.0,947993.7 6435929.6,947986.4 6435933.5,947977.4 6435937.3)",11755,16437,16436,0
"LINESTRING (950528.1 6434341.4,950532.0 6434353.1,950534.4 6434362.6)",11772,16460,16461,0
"LINESTRING (948711.8 6434823.1,948700.3 6434830.2,948674.5 6434849.1,948651.1 6434869.4,948631.2 6434888.3,948612 6434913,948595.9 6434934.0,948578.8 6434962.8,948558.6 6435003.5,948539.6 6435044.0,948528.2 6435072.0,948517.3 6435100.9,948508.5 6435133.0,948498.4 6435173.0,948481.2 6435229.5,948475.4 6435248.6,948468.4 6435265.9,948460.3 6435282.6,948452.3 6435294.1,948439.4 6435308.5,948410.8 6435340.3,948391.6 6435360.4,948374.8 6435380.6,948358.1 6435403.2,948346.4 6435421.3,948339.2 6435436.2,948329.4 6435456.1,948320.4 6435475.0,948311.2 6435493.0,948299.6 6435510.7,948286.6 6435526.7,948275.6 6435539.7)",11773,16462,16434,0
"LINESTRING (950420.6 6434147.1,950425.4 6434144.5,950430.9 6434140.5,950434.6 6434139.5)",11775,16465,16466,0
"LINESTRING (950534.4 6434362.6,950537.9 6434367.2,950541.9 6434367.0,950547.0 6434362.5,950549.8 6434354.8,950553.5 6434335.2,950555.6 6434312.7,950556.9 6434307.9,950560.5 6434305.4,950563.0 6434305.9)",11809,16461,16504,0
"LINESTRING (950477.9 6434283.0,950502.6 6434302.1,950512.0 6434310.5,950520.5 6434320.6,950525.3 6434333.1,950528.1 6434341.4)",11810,16505,16460,0
"LINESTRING (950700.9 6433553.0,950693.9 6433568.7,950681.8 6433584.8,950665.9 6433605.5,950654.5 6433621.9,950649.4 6433629.7)",11811,16506,16507,0
