link_id,source,target,direction,wkt
troncon_de_route.TRONROUT0000000039834667,2,84,0,"LINESTRING(2.55134152 48.64286357,2.5513376 48.64300477,2.55132859 48.64310548,2.55130377 48.64315037,2.55127488 48.64319523,2.55121359 48.64322019,2.55114701 48.64322803,2.55103707 48.64322762,2.55055798 48.64322131,2.55047246 48.64322189,2.55040711 48.64324503,2.55034019 48.64329335,2.55027988 48.64336059,2.55025619 48.64343246,2.55023138 48.64363475,2.55024562 48.64387317,2.55027845 48.64431675,2.55030905 48.64454714,2.55035848 48.64463908,2.55043002 48.64468612,2.55054082 48.644745,2.55058955 48.64476048,2.55066149 48.64476075,2.55072258 48.64476008,2.55078909 48.64476033,2.5508744 48.64478404,2.55114778 48.64487952,2.55128179 48.6449223,2.55139004 48.64496229,2.55145109 48.64496611,2.5515244 48.64496549,2.55165199 48.64496507,2.55174294 48.64496541)"
troncon_de_route.TRONROUT0000000039834669,83,84,0,"LINESTRING(2.55237058 48.64284045,2.55229945 48.64306326,2.55222703 48.64327797,2.55216144 48.64348821,2.55211304 48.64359237,2.55201111 48.64376649,2.55192648 48.64398025,2.55186053 48.64423096,2.55180114 48.64450869,2.55175991 48.64472711,2.55174796 48.64485389,2.55174294 48.64496541)"
troncon_de_route.TRONROUT0000000232984963,49,51,0,"LINESTRING(2.54365945 48.63954041,2.54346871 48.63946772,2.54335661 48.63940522,2.54327284 48.63936173,2.54326474 48.6393563,2.54323235 48.63933549)"
troncon_de_route.TRONROUT0000000233778713,85,86,0,"LINESTRING(2.55610655 48.63925282,2.55596527 48.63926848)"
troncon_de_route.TRONROUT0000000233778714,87,88,0,"LINESTRING(2.55412652 48.63891171,2.5541498 48.63888841,2.55419346 48.63886069,2.55457152 48.63877305,2.55474161 48.63872241,2.55480977 48.63868669,2.55484122 48.63865982,2.55484687 48.63863286,2.55481225 48.63855537,2.55467706 48.63833269)"
troncon_de_route.TRONROUT0000000233778716,87,89,0,"LINESTRING(2.55412652 48.63891171,2.55410492 48.63889904,2.55406425 48.63889259,2.55399637 48.63889503,2.5537748 48.63893468,2.55353841 48.63896258,2.55323831 48.63898034,2.5531597 48.63896745,2.55308255 48.63894198,2.55303667 48.63891122,2.55302061 48.63888418,2.55286391 48.63863892)"
troncon_de_route.TRONROUT0000000233778717,87,90,0,"LINESTRING(2.55412652 48.63891171,2.55420829 48.63903255,2.55423641 48.63907673)"
troncon_de_route.TRONROUT0000000233778718,90,32,0,"LINESTRING(2.55423641 48.63907673,2.55393582 48.63915206,2.55363408 48.6392022,2.55323726 48.63926188,2.55318299 48.63925898,2.55310973 48.63925601,2.55299147 48.63927715,2.55290025 48.63931009,2.55275906 48.63931406,2.55260589 48.639291,2.55246348 48.63927877,2.55229932 48.63927096,2.55208612 48.63928455,2.55178852 48.6393266,2.5515657 48.63935365,2.55131311 48.63937069,2.5511717 48.63940074,2.550999 48.63943877,2.55086319 48.63944815,2.55059576 48.63945434,2.55044901 48.63947357,2.55032252 48.63950458,2.55018079 48.63957151,2.55007734 48.6396062,2.54999584 48.63961398,2.5499538 48.63961023,2.54992136 48.63959481,2.54988764 48.6395704,2.54982402 48.63954947,2.54974826 48.6395213,2.54966684 48.63952009)"
troncon_de_route.TRONROUT0000000233778719,90,91,0,"LINESTRING(2.55423641 48.63907673,2.55456967 48.63899072,2.55473969 48.63894818)"
troncon_de_route.TRONROUT0000000233778720,92,93,0,"LINESTRING(2.55616085 48.63925212,2.55626778 48.6392867)"
troncon_de_route.TRONROUT0000000233778723,94,95,0,"LINESTRING(2.55619589 48.64088125,2.55611484 48.64083598,2.55602452 48.64076368,2.5559614 48.64068429,2.55592284 48.6405897,2.55588504 48.64056527,2.5557417 48.64050267,2.55561553 48.6404959,2.55529052 48.64056935,2.55513347 48.640683,2.55508585 48.64069631,2.5550329 48.64069791,2.5549489 48.64067961)"
troncon_de_route.TRONROUT0000000233778724,96,97,0,"LINESTRING(2.5533308 48.64054673,2.55321984 48.64050673,2.55306282 48.64045757,2.55282838 48.64041441,2.55242688 48.64038502,2.55182969 48.64038368,2.55160978 48.64038735,2.55137167 48.64045571,2.55124098 48.64050109)"
troncon_de_route.TRONROUT0000000233778727,42,41,0,"LINESTRING(2.5512514 48.6405524,2.55127973 48.64073061)"
troncon_de_route.TRONROUT0000000233778728,92,85,0,"LINESTRING(2.55616085 48.63925212,2.55610655 48.63925282)"
troncon_de_route.TRONROUT0000000233778729,95,96,0,"LINESTRING(2.5549489 48.64067961,2.55476727 48.64065105,2.55462768 48.64062624,2.55451764 48.64063842,2.55436301 48.64062705,2.55397388 48.64057792,2.55380712 48.64055661,2.55367292 48.64053631,2.55353313 48.64053579,2.5533308 48.64054673)"
troncon_de_route.TRONROUT0000000233778730,96,26,0,"LINESTRING(2.5533308 48.64054673,2.55331946 48.64060335)"
troncon_de_route.TRONROUT0000000233778732,86,91,0,"LINESTRING(2.55596527 48.63926848,2.55578309 48.63930468,2.55561712 48.63934994,2.55545529 48.63938712,2.55526903 48.6394242,2.55520526 48.63942216,2.55517278 48.63941125,2.55508256 48.63932726,2.55501919 48.63927755,2.55494894 48.63923861,2.55491384 48.63921689,2.55489239 48.63918622,2.55487786 48.63913849,2.55485277 48.63905655,2.554818 48.63899615,2.5547843 48.63896904,2.55473969 48.63894818)"
troncon_de_route.TRONROUT0000000233778733,91,98,0,"LINESTRING(2.55473969 48.63894818,2.55475737 48.63894375,2.55515171 48.63885617,2.55528374 48.63881169,2.55534777 48.63878405,2.55564685 48.63872579,2.55609834 48.63862134,2.55623719 48.63857238,2.55637896 48.63849915,2.55647572 48.63845273,2.55654911 48.63844041,2.55671097 48.63839964,2.55686311 48.63838401,2.55708293 48.63839023,2.55722407 48.63839165,2.55737895 48.63837334,2.55745083 48.638379,2.55749701 48.63837468,2.55766683 48.63835552,2.55779705 48.6383641,2.55805321 48.63840553,2.55814017 48.63839415)"
troncon_de_route.TRONROUT0000000233778743,34,99,1,"LINESTRING(2.5484217 48.63895229,2.54841551 48.6388839,2.54846764 48.63881934,2.54855889 48.6387828,2.54864573 48.63878583)"
troncon_de_route.TRONROUT0000000238977870,22,100,1,"LINESTRING(2.54920135 48.64298052,2.54916945 48.64290124,2.54916872 48.64282928,2.5491884 48.6427502)"
troncon_de_route.TRONROUT0000000238977871,38,101,1,"LINESTRING(2.54950926 48.64253103,2.54960576 48.64251611,2.54971439 48.64251112,2.54981741 48.6425277)"
troncon_de_route.TRONROUT0000000238977872,5,22,1,"LINESTRING(2.54954441 48.64317791,2.54942935 48.64314149,2.54934555 48.6431007,2.54926727 48.64304823,2.54920135 48.64298052)"
troncon_de_route.TRONROUT0000000238977873,3,6,1,"LINESTRING(2.55016532 48.64295088,2.55012409 48.64301009,2.55007474 48.64306658,2.54999685 48.64312655,2.54990556 48.64316758)"
troncon_de_route.TRONROUT0000000238977874,8,3,1,"LINESTRING(2.55014697 48.64271694,2.55018968 48.64280076,2.55019453 48.64286824,2.55016532 48.64295088)"
troncon_de_route.TRONROUT0000000238977875,101,8,1,"LINESTRING(2.54981741 48.6425277,2.54992839 48.6425641,2.55001624 48.64260851,2.55009043 48.64266186,2.55014697 48.64271694)"
troncon_de_route.TRONROUT0000000238977876,100,38,1,"LINESTRING(2.5491884 48.6427502,2.5492296 48.64269459,2.5492789 48.6426435,2.54933901 48.64259875,2.54941808 48.64255947,2.54950926 48.64253103)"
troncon_de_route.TRONROUT0000000238977881,6,5,1,"LINESTRING(2.54990556 48.64316758,2.54979138 48.64318604,2.54967325 48.64319099,2.54954441 48.64317791)"
troncon_de_route.TRONROUT0000000246102284,71,72,0,"LINESTRING(2.54000801 48.6423688,2.54000663 48.6423706,2.53992604 48.64242875,2.53981574 48.6424688,2.53963756 48.64251129,2.53954896 48.64255323,2.53943141 48.64264632,2.53924554 48.64279132,2.53877142 48.64314569,2.53853212 48.64334625,2.5380768 48.64372228,2.53790619 48.64382866,2.53784503 48.64383742)"
troncon_de_route.TRONROUT0000000246102300,46,67,0,"LINESTRING(2.54133337 48.63904664,2.5414307 48.63909199,2.54153752 48.63913738,2.54158217 48.63915374,2.54162961 48.63916112)"
troncon_de_route.TRONROUT0000000246102318,102,103,0,"LINESTRING(2.55300281 48.64303442,2.55385822 48.64315996,2.55472178 48.64328552,2.55522476 48.64335576,2.55540224 48.6433951,2.55548192 48.64344307,2.55554366 48.64352516,2.55557834 48.64359725,2.55559812 48.64366478,2.55559874 48.64375204,2.55561588 48.64381147,2.55565478 48.64386648,2.55572774 48.64390633,2.55586052 48.64393381,2.5560965 48.64395808,2.55616839 48.64396464)"
troncon_de_route.TRONROUT0000000246102322,42,36,0,"LINESTRING(2.5512514 48.6405524,2.55118763 48.64054947,2.55108447 48.64055088,2.5507844 48.64056324,2.55052103 48.64057034,2.55032955 48.64058221,2.55018972 48.64058618,2.549948 48.64060056,2.54971714 48.64061408,2.54965335 48.64061384)"
troncon_de_route.TRONROUT0000000246102324,0,83,1,"LINESTRING(2.55607245 48.64327257,2.55584199 48.64323933,2.55321334 48.64285801,2.55283892 48.64283412,2.55271676 48.64283366,2.55237058 48.64284045)"
troncon_de_route.TRONROUT0000000246102338,104,105,0,"LINESTRING(2.54400645 48.64083882,2.54381238 48.64083628,2.54361957 48.64084544,2.54328802 48.64088824,2.54321062 48.64089155,2.54314824 48.64088591,2.54309953 48.64086773,2.54306443 48.64084601,2.54300341 48.64083948,2.54296143 48.64082852,2.54292508 48.6407951,2.54284972 48.64072015,2.54279047 48.64066686,2.54274041 48.64064867,2.54268207 48.64064575,2.54259651 48.64065172,2.5425203 48.64067481,2.54244946 48.64070513,2.54231867 48.64076129,2.54218544 48.64078507,2.54194095 48.64080572,2.54171694 48.64081295,2.54158537 48.64080255,2.54151357 48.64078698)"
troncon_de_route.TRONROUT0000000246102342,29,37,0,"LINESTRING(2.5508969 48.64168804,2.55056816 48.64172008,2.55029108 48.64174242,2.54994078 48.64175549,2.5499177 48.64175631,2.54970043 48.64176718)"
troncon_de_route.TRONROUT0000000246102346,1,106,1,"LINESTRING(2.55610575 48.64318814,2.5561387 48.64314419,2.55619066 48.64309851,2.55628058 48.64305926,2.55634591 48.64303792,2.5564071 48.64302555,2.55649946 48.6430187)"
troncon_de_route.TRONROUT0000000246102352,107,13,1,"LINESTRING(2.54419581 48.64294079,2.54439675 48.64293436,2.54477009 48.64292679)"
troncon_de_route.TRONROUT0000000246102356,15,107,1,"LINESTRING(2.54333 48.64292038,2.5434492 48.64294872,2.5436215 48.64295838,2.54416051 48.64294155,2.54419581 48.64294079)"
troncon_de_route.TRONROUT0000000246102357,108,0,1,"LINESTRING(2.55623056 48.64351602,2.55618469 48.64348257,2.55613886 48.64344552,2.5560999 48.6433977,2.55607603 48.64333105,2.55607245 48.64327257)"
troncon_de_route.TRONROUT0000000246102361,11,1,1,"LINESTRING(2.55138708 48.64277469,2.55167624 48.64276948,2.55219888 48.64276155,2.55271209 48.64274549,2.55283967 48.64274597,2.55322631 48.6427699,2.5558753 48.6431531,2.55610575 48.64318814)"
troncon_de_route.TRONROUT0000000246102362,109,33,1,"LINESTRING(2.54878355 48.63885741,2.54880896 48.63890158,2.54879621 48.6389627,2.5487716 48.6389842)"
troncon_de_route.TRONROUT0000000246102363,37,101,1,"LINESTRING(2.54970043 48.64176718,2.54971454 48.64217831,2.54972021 48.64230786,2.54972151 48.64231506,2.54975055 48.64240961,2.54981741 48.6425277)"
troncon_de_route.TRONROUT0000000246102417,39,110,0,"LINESTRING(2.54966264 48.64000761,2.54975079 48.64001604,2.54988211 48.64005521,2.55002713 48.64007915,2.55008136 48.64008655,2.55021861 48.64006728,2.55031118 48.64003524,2.55046926 48.63996028,2.55057531 48.63993909,2.55075454 48.63993077,2.55090106 48.63993852,2.55095384 48.63995581,2.55098474 48.63999371,2.55100082 48.64001716,2.55100351 48.64002076,2.55102915 48.64003795,2.55106555 48.64006687,2.55108833 48.64010024,2.55108964 48.64010654,2.55108652 48.64031162,2.55108478 48.64035658,2.55109112 48.64040788,2.55110582 48.64043492,2.5511354 48.64046741)"
troncon_de_route.TRONROUT0000000246102427,105,71,0,"LINESTRING(2.54151357 48.64078698,2.54084347 48.64136008,2.54052586 48.64167009,2.54030272 48.64188601,2.54015632 48.64201857,2.54011251 48.64206158,2.54009587 48.64210109,2.54006756 48.64223411,2.54004095 48.64232665,2.54000801 48.6423688)"
troncon_de_route.TRONROUT0000000246102441,111,112,0,"LINESTRING(2.54521309 48.63990076,2.54524927 48.63995486)"
troncon_de_route.TRONROUT0000000246102442,113,112,0,"LINESTRING(2.54530831 48.64003245,2.54524927 48.63995486)"
troncon_de_route.TRONROUT0000000246102443,104,114,0,"LINESTRING(2.54400645 48.64083882,2.54401864 48.6411537,2.54403782 48.6412887,2.54408228 48.64132665)"
troncon_de_route.TRONROUT0000000246102447,97,42,0,"LINESTRING(2.55124098 48.64050109,2.5512514 48.6405524)"
troncon_de_route.TRONROUT0000000246102455,113,115,0,"LINESTRING(2.54530831 48.64003245,2.54546292 48.64020304,2.54557469 48.64030511)"
troncon_de_route.TRONROUT0000000246102457,115,116,0,"LINESTRING(2.54557469 48.64030511,2.54565808 48.64039178)"
troncon_de_route.TRONROUT0000000246102463,117,105,0,"LINESTRING(2.54157098 48.64074043,2.54151357 48.64078698)"
troncon_de_route.TRONROUT0000000246102464,118,68,0,"LINESTRING(2.54609107 48.63976378,2.54607944 48.63969717,2.54605675 48.63965211,2.54602872 48.63959803,2.54598202 48.63950521)"
troncon_de_route.TRONROUT0000000246102466,63,119,0,"LINESTRING(2.54248027 48.63904386,2.54275904 48.63882725,2.54282816 48.63883831)"
troncon_de_route.TRONROUT0000000246102477,97,110,0,"LINESTRING(2.55124098 48.64050109,2.55120572 48.64049736,2.5511354 48.64046741)"
troncon_de_route.TRONROUT0000000246102490,33,120,0,"LINESTRING(2.5487716 48.6389842,2.5488583 48.63900342,2.54892032 48.63905132,2.54892966 48.63906935,2.54894066 48.63921061)"
