WKT,link_id,source,target,direction
"LINESTRING (665951.700128934 6838284.00050006,665970.900138511 6838257.99961961,666028.799820727 6838184.20033317,666036.900006145 6838176.79983576,666056.700094961 6838154.90038884,666069.400092816 6838138.29994694,666079.299677309 6838127.00007112,666088.299668731 6838118.60048697)",troncon_de_route.TRONROUT0000000003407627,72,73,0
"LINESTRING (666110.100211772 6838119.79977946,666104.300197256 6838116.10027173)",troncon_de_route.TRONROUT0000000003409259,71,74,0
"LINESTRING (666102.399829501 6838099.99968257,666105.499873649 6838091.09975033,666127.699805717 6838058.00003042,666142.800075356 6838035.09988666,666162.199808911 6838009.19970339,666174.20009744 6837993.79983702)",troncon_de_route.TRONROUT0000000003409260,75,76,0
"LINESTRING (666104.300197256 6838116.10027173,666102.499708445 6838117.89958854,666099.299956168 6838119.80044786,666095.00027508 6838120.70046246,666091.299838323 6838120.00049627,666088.299668731 6838118.60048697)",troncon_de_route.TRONROUT0000000003409261,74,73,1
"LINESTRING (666088.299668731 6838118.60048697,666085.999673344 6838115.59990634,666084.200249951 6838112.39962637,666083.699747505 6838109.19955645,666084.200117914 6838105.29991172)",troncon_de_route.TRONROUT0000000003409262,73,77,1
"LINESTRING (666084.200117914 6838105.29991172,666088.800119842 6838099.79988916,666093.100153802 6838098.19945782,666098.600137016 6838098.19964533,666102.399829501 6838099.99968257)",troncon_de_route.TRONROUT0000000003409263,77,75,1
"LINESTRING (666102.399829501 6838099.99968257,666104.800244169 6838101.90015118,666106.899981824 6838104.79962346,666107.60007087 6838109.00023043,666106.400183155 6838113.09961882,666104.300197256 6838116.10027173)",troncon_de_route.TRONROUT0000000003409264,75,74,1
"LINESTRING (665975.39968706 6838025.99952327,665979.000108198 6838027.60052772,666004.199855356 6838047.5994545,666036.500136859 6838070.69998622)",troncon_de_route.TRONROUT0000000003409266,78,79,0
"LINESTRING (666036.500136859 6838070.69998622,666068.300173465 6838031.69947226,666081.999836728 6838012.99979699,666084.100131918 6838010.3004241,666094.199727205 6837997.49965344,666097.299671364 6837993.00007657)",troncon_de_route.TRONROUT0000000003409267,79,80,0
"LINESTRING (665861.399630142 6838159.49966464,665867.399723877 6838157.60003051,665871.699716266 6838154.0004844,665875.099999702 6838149.50013225,665897.500180639 6838119.40009575,665938.799815953 6838066.20044474,665963.800150429 6838032.60008902,665968.800318839 6838026.99979801,665972.300082626 6838025.49957131,665975.10012509 6838025.80004638,665975.39968706 6838025.99952327)",troncon_de_route.TRONROUT0000000003409272,81,78,0
"LINESTRING (665906.000231257 6838239.19946878,665909.899860505 6838234.79960149,665922.900337458 6838217.3999312,665933.799738268 6838201.90037033,665952.100049108 6838180.00044925,665973.600194999 6838152.79988722,665990.599812678 6838131.30015718,666015.99992138 6838097.90001317,666036.500136859 6838070.69998622)",troncon_de_route.TRONROUT0000000003409273,82,79,0
"LINESTRING (667021.199643143 6838166.9997471,666945.399750198 6838170.00034068)",troncon_de_route.TRONROUT0000000039834665,83,2,1
