WKT,link_id,source,target,direction
"LINESTRING (2.55117005 48.63658618,2.55121328 48.63660973,2.55123065 48.63664128,2.55123047 48.63666197,2.55122213 48.63668532,2.55117713 48.63670944)",troncon_de_route.TRONROUT0000000002223266,"1544","1533","1"
"LINESTRING (2.54956031 48.6378628,2.54973256 48.63787514,2.54985878 48.63787562)",troncon_de_route.TRONROUT0000000002223267,"1511","1535","1"
"LINESTRING (2.55040451 48.63722914,2.54982634 48.63738707)",troncon_de_route.TRONROUT0000000002223268,"1545","1528","0"
"LINESTRING (2.55137868 48.64248771,2.55137849 48.64235189,2.55132897 48.6416366)",troncon_de_route.TRONROUT0000000002223270,"1376","1530","1"
"LINESTRING (2.54982634 48.63738707,2.54962079 48.63745825,2.54948204 48.63749461,2.5493612 48.63750045,2.54926233 48.63747668)",troncon_de_route.TRONROUT0000000002223271,"1528","1506","0"
"LINESTRING (2.54965667 48.63801968,2.54965086 48.63806463,2.54963959 48.63811226,2.54960376 48.63817509,2.54956126 48.6382253,2.54950394 48.63826197)",troncon_de_route.TRONROUT0000000002223272,"1512","1523","1"
"LINESTRING (2.54997578 48.63784278,2.55000203 48.63778981,2.550046 48.63772611)",troncon_de_route.TRONROUT0000000002223273,"1536","1529","1"
"LINESTRING (2.55012192 48.63789371,2.54999554 48.63791302,2.54989101 48.63791622,2.54979609 48.63790597)",troncon_de_route.TRONROUT0000000002223274,"1548","1549","1"
"LINESTRING (2.55132897 48.6416366,2.55127973 48.64073061)",troncon_de_route.TRONROUT0000000002223275,"1530","1550","0"
"LINESTRING (2.5508969 48.64168804,2.55103139 48.64167506,2.55132897 48.6416366)",troncon_de_route.TRONROUT0000000002223276,"1504","1530","0"
"LINESTRING (2.55206465 48.63735323,2.55157218 48.637489,2.55107833 48.63762746,2.55059265 48.63776236,2.55012192 48.63789371)",troncon_de_route.TRONROUT0000000002223278,"1454","1548","1"
"LINESTRING (2.550046 48.63772611,2.55107177 48.63744304)",troncon_de_route.TRONROUT0000000002223279,"1529","1534","1"
"LINESTRING (2.54850795 48.63823751,2.54861678 48.63820824,2.54869985 48.63817617,2.54875983 48.63814491,2.54881718 48.63810555)",troncon_de_route.TRONROUT0000000002223283,"1541","1526","1"
