#srid: Geo
#ref point: None
#lon,lat,obs
2.6712915358,48.8463157580,0
2.6713213702,48.8463430370,1
2.6713314095,48.8463522163,0
2.6713708898,48.8463888072,0
2.6714103696,48.8464254544,0
2.6714498413,48.8464620939,0
2.6714893100,48.8464987306,0
2.6715287787,48.8465353673,0
2.6715682475,48.8465720039,0
2.6716077599,48.8466086332,0
2.6716472828,48.8466452457,0
2.6716868057,48.8466818582,0
2.6717263287,48.8467184706,0
2.6717658518,48.8467550831,0
2.6718053749,48.8467916955,0
2.6718448980,48.8468283079,0
2.6718845308,48.8468647927,0
2.6719238627,48.8469014902,0
2.6719631838,48.8469381776,0
2.6719787810,48.8469527300,1
2.6720024668,48.8469748293,0
2.6720417499,48.8470114811,0
2.6720810330,48.8470481328,0
2.6720989314,48.8470648322,1
2.6721203161,48.8470847844,0
2.6721595994,48.8471214361,0
2.6721988826,48.8471580878,0
2.6722381659,48.8471947394,0
2.6722774493,48.8472313911,0
2.6723170368,48.8472678542,0
2.6723569350,48.8473041751,0
2.6723706208,48.8473152627,1
2.6724002783,48.8473371935,0
2.6724448127,48.8473671724,0
2.6724940039,48.8473966897,0
2.6725444186,48.8474242271,0
2.6725974466,48.8474522569,0
2.6726509433,48.8474793269,0
2.6726971846,48.8475026985,1
2.6727049581,48.8475066274,0
2.6727587960,48.8475333228,0
2.6728144206,48.8475592797,0
2.6728700453,48.8475852366,0
2.6729256977,48.8476109504,0
2.6729818079,48.8476364572,0
2.6730379182,48.8476619641,0
2.6730908070,48.8476916267,0
2.6731416370,48.8477210773,0
2.6731880780,48.8477522183,0
2.6731991633,48.8477603859,1
2.6732235613,48.8477859222,0
2.6732487284,48.8478291447,0
2.6732678955,48.8478744904,0
2.6732810537,48.8479185820,0
2.6732942118,48.8479626736,0
2.6733068884,48.8480071692,0
2.6733113065,48.8480250369,1
2.6733178367,48.8480514465,0
2.6733287851,48.8480957237,0
2.6733397199,48.8481399463,0
2.6733506519,48.8481841573,0
2.6733615840,48.8482283684,0
2.6733725160,48.8482725794,0
2.6733834481,48.8483167904,0
2.6733943802,48.8483610014,0
2.6734028301,48.8484077689,0
2.6734084154,48.8484525827,0
2.6734118859,48.8484984569,0
2.6734150854,48.8485441738,0
2.6734162359,48.8485890588,0
2.6734169934,48.8486346898,0
2.6734159006,48.8486734042,1
2.6734157299,48.8486794529,0
2.6734127236,48.8487245602,0
2.6734092868,48.8487691433,0
2.6734024049,48.8488146266,0
2.6733938373,48.8488592045,0
2.6733854944,48.8489037036,0
2.6733773267,48.8489483034,0
2.6733687493,48.8489935933,0
2.6733581703,48.8490380130,0
2.6733445630,48.8490838531,0
2.6733275343,48.8491278866,0
2.6733264933,48.8491302170,1
2.6733084132,48.8491706907,0
2.6732885451,48.8492135920,0
2.6732659746,48.8492546401,0
2.6732383173,48.8492960031,0
2.6732072802,48.8493364420,0
2.6731719141,48.8493769167,0
2.6731359084,48.8494150150,0
2.6730941503,48.8494545050,0
2.6730523387,48.8494899372,0
2.6730064649,48.8495256171,0
2.6729610116,48.8495586349,0
2.6729436576,48.8495712409,1
2.6729155582,48.8495916526,0
2.6728671102,48.8496232990,0
2.6728196095,48.8496545111,0
2.6727721470,48.8496812344,0
2.6727195808,48.8497026839,0
2.6726619233,48.8497259729,0
2.6726059978,48.8497444743,0
2.6725457502,48.8497635104,0
2.6724822421,48.8497799838,0
2.6724185475,48.8497952910,0
2.6723515765,48.8498104051,0
2.6722852818,48.8498207632,0
2.6722189871,48.8498311213,0
2.6721518423,48.8498411753,0
2.6720851350,48.8498500692,0
2.6720184277,48.8498589630,0
2.6719511184,48.8498669413,0
2.6718842261,48.8498744702,0
2.6718175822,48.8498819711,0
2.6717499426,48.8498884440,0
2.6716797831,48.8498935950,0
2.6716117003,48.8498953474,0
2.6715436175,48.8498970997,0
2.6714746645,48.8498998469,0
2.6714065800,48.8499001138,0
2.6713376273,48.8498996664,0
2.6712697360,48.8498981619,0
2.6712017949,48.8498965785,0
2.6711339416,48.8498948582,0
2.6711248864,48.8498946286,1
2.6710659817,48.8498931351,0
2.6709978994,48.8498914090,0
2.6709298170,48.8498896827,0
2.6708617347,48.8498879565,0
2.6707936523,48.8498862302,0
2.6707255700,48.8498845039,0
2.6706574876,48.8498827775,0
2.6706036666,48.8498819260,1
2.6705893287,48.8498818486,0
